file,sheet,penalty,objective,time_sec,time_formatted,hotels_selected,assignment_cost,misplacement_cost,contract_cost
penality_study,0,200,183886,57,57s,8/12,23487,160399,0
penality_study,1,400,238204,33,33s,8/12,33962,102800,101442
penality_study,2,600,238841,39,39s,8/12,43551,40200,155090
penality_study,3,800,448528,20,21s,9/12,43411,284000,121117
penality_study,4,1000,379767,35,36s,9/12,32420,151000,196346
penality_study,5,200,89910,50,51s,11/12,61311,28599,0
penality_study,6,400,112739,40,41s,11/12,58588,46800,7351
penality_study,7,600,143517,56,57s,11/12,57718,85799,0
penality_study,8,800,148940,52,52s,12/12,68684,28000,52256
penality_study,9,1000,181225,56,57s,12/12,54347,24000,102878
penality_study,10,200,74986,47,48s,11/12,39775,19800,15411
