file,sheet,penalty,objective,time_sec,time_formatted,hotels_selected,assignment_cost,misplacement_cost,contract_cost
penality_study,0,200,190906,27,27s,8/12,34170,139399,17337
penality_study,1,400,352415,32,32s,7/12,39639,151200,161576
penality_study,2,600,224241,49,50s,8/12,44207,115800,64234
penality_study,3,800,265024,41,41s,8/12,30802,75200,159022
penality_study,4,1000,335845,52,52s,8/12,36752,232000,67093
penality_study,5,200,99892,57,58s,11/12,51916,41400,6576
penality_study,6,400,119699,44,45s,11/12,59699,60000,0
penality_study,7,600,136139,46,46s,11/12,58588,70200,7351
penality_study,8,800,148940,43,44s,12/12,68684,28000,52256
penality_study,9,1000,155940,54,54s,12/12,68684,35000,52256
penality_study,10,200,56143,64,1m 4s,11/12,45105,2800,8238
penality_study,11,400,61852,46,47s,11/12,39582,0,22269
penality_study,12,600,61743,59,60s,11/12,45105,8400,8238
penality_study,13,800,64543,68,1m 9s,11/12,45105,11200,8238
penality_study,14,1000,73877,51,52s,11/12,51639,14000,8238
