instance,sheet,ul_vars,ll_vars,ils_obj,ils_time_s,ils_gap_from_lb,best_obj,lower_bound,opt_gap_pct,wall_time_s,delta_pct,status,open_hotels
1,0,48,501,94801.0,99.0,254.71,26726.094,26726.1,0.0,0.36,-71.81,optimal,24
2,0,60,615,132056.0,142.0,772.76,15130.41,15130.9,0.0,0.32,-88.54,optimal,22
3,0,72,729,183295.0,422.0,424.55,34939.401,34943.0,0.0,0.7,-80.94,optimal,36
4,0,84,843,186286.0,829.0,497.47,31179.093,31179.1,0.0,15.63,-83.26,optimal,38
5,0,48,816,983601.0,191.0,566.72,147528.03,147528.0,0.0,1.26,-85.0,optimal,22
6,0,60,1002,247258.0,311.0,174.88,89951.34,89951.3,0.0,1.62,-63.62,optimal,30
7,0,72,1188,285118.0,1069.0,644.11,38316.381,38316.4,0.0,1.58,-86.56,optimal,36
8,0,84,1374,424851.0,1492.0,1294.92,30457.012,30457.0,0.0,1.44,-92.83,optimal,42
9,0,80,860,199220.0,319.0,787.62,22444.265,22444.4,0.0,5.51,-88.73,optimal,26
10,0,100,1060,115028.0,693.0,512.95,18766.201,18766.2,0.0,1.94,-83.69,optimal,36
11,0,120,1260,230435.0,1904.0,667.47,30024.605,30025.2,0.0,4.1,-86.97,optimal,42
12,0,140,1460,103942.0,4050.0,288.11,26781.682,26781.9,0.0,11.0,-74.23,optimal,56
